id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2384,Hyde Park Private Room - Pleasant Walk to UChicago,2613,Rebecca,,Hyde Park,41.78886,-87.58671,Private room,50,2,170,2019-09-16,2.97,1,330
4505,One Great Apartment. 377 Great Reviews. 1 Bad One.,5775,Craig & Kathleen,,South Lawndale,41.85495,-87.69696,Entire home/apt,117,2,383,2019-09-08,2.98,1,348
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90289,-87.68182,Entire home/apt,80,2,360,2019-09-16,2.89,1,329
9811,Barbara's Hideaway - Old Town,33004,At Home Inn,,Lincoln Park,41.91769,-87.63788,Entire home/apt,150,4,43,2019-09-15,0.65,10,350
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91183,-87.64,Entire home/apt,215,4,14,2019-08-27,0.21,10,302
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.92335,-87.64951,Private room,289,2,4,2018-10-17,0.08,1,159
22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,85811,Craig,,West Town,41.89617,-87.66041,Entire home/apt,99,89,9,2014-10-12,0.13,1,362
25269,"Old Town, Furnished 2 bedroom: SWG",87231,Jeff And JoAnne,,Lincoln Park,41.91423,-87.63846,Entire home/apt,145,1,179,2019-05-13,1.58,11,139
28749,3 bedroom Dramatic Bucktown LOFT,27506,Laurie,,Logan Square,41.92083,-87.6801,Entire home/apt,190,2,47,2018-01-01,0.44,1,326
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97385,-87.66539,Private room,77,3,244,2019-06-18,2.18,1,256
39742,Central guestroom! Walk everywhere!,170758,Eric,,Near North Side,41.89377,-87.63465,Private room,75,2,496,2019-09-06,4.55,1,0
46151, Furnished Junior 1 Bedroom :SW1R,87231,Jeff And JoAnne,,Lincoln Park,41.91331,-87.63964,Entire home/apt,75,1,233,2019-04-30,2.12,11,172
46154,Old Town Lincoln Park studio: 2F,87231,Jeff And JoAnne,,Lincoln Park,41.91287,-87.63979,Entire home/apt,65,1,250,2019-08-26,2.29,11,191
56802,Beautiful 2 BR Old Town Lincoln Pk,87231,Jeff And JoAnne,,Lincoln Park,41.91264,-87.63979,Entire home/apt,155,1,262,2019-09-01,2.47,11,134
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89687,-87.67989,Private room,59,3,60,2019-08-11,0.59,2,343
79101,5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,272671,Two For The Road,,Uptown,41.96792,-87.65757,Private room,180,2,148,2019-06-16,1.43,4,358
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89693,-87.68033,Private room,55,3,64,2019-09-02,0.62,2,314
110705,Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,,Uptown,41.9693,-87.65621,Private room,99,2,139,2019-08-13,1.37,4,348
126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,,Uptown,41.96804,-87.65123,Private room,48,3,149,2019-09-19,1.48,1,240
131096,Reliable Host + Comfy Double Bed,645234,Carol,,Avondale,41.93361,-87.71977,Private room,80,1,94,2019-07-28,2.02,1,8
133262,"Sweet Ivy Apartment #1 Relax, Recharge & Explore!",654712,Francesca,,West Town,41.89243,-87.68078,Entire home/apt,100,14,35,2019-06-12,0.42,2,59
144840,Great 3 Bedroom in Great Wrigley/Lakeview Location,701615,Daniel,,Lake View,41.94079,-87.65763,Entire home/apt,225,2,25,2019-08-13,0.58,1,359
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94364,-87.68155,Entire home/apt,275,2,17,2019-08-11,0.35,20,360
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91351,-87.63929,Entire home/apt,475,2,40,2019-07-07,0.76,20,348
165952,"Two Bedroom, One Bathroom Apartment",791089,Conrad,,Lake View,41.94274,-87.67321,Entire home/apt,198,3,58,2018-10-14,0.59,4,361
166667,Cozy Garden Studio ,791089,Conrad,,North Center,41.94274,-87.67378,Entire home/apt,125,3,86,2019-08-25,0.86,4,357
166706,"Three Bedroom, Two Bathroom Combo Apartment",791089,Conrad,,Lake View,41.94221,-87.67327,Entire home/apt,280,3,22,2019-06-03,0.22,4,356
172616,ALONZO:  SWEET Flat in the Ukrainian Village,3908,Layne,,West Town,41.89753,-87.67315,Entire home/apt,75,3,65,2019-08-25,0.65,3,280
175511,1BR/1BA Suite in Chicago (3709-G1),837429,Petru,,Irving Park,41.96012,-87.72158,Entire home/apt,67,2,29,2019-08-31,0.30,2,351
184764,Room w/private bath -kid friendly,886362,Julie,,Portage Park,41.94325,-87.75403,Private room,85,3,161,2019-08-19,1.63,1,298
189821,Best Airbnb in Chicago,899757,Meighan,,Logan Square,41.92973,-87.7012,Entire home/apt,150,2,457,2019-09-16,4.68,1,58
192652,Urban Oasis--Wicker Park Vintage,906713,Stephanie,,West Town,41.90136,-87.67973,Private room,75,2,334,2019-09-11,3.38,2,154
198135,Darling Damen Dwelling (with bike if you like),85708,Sarah,,North Center,41.95935,-87.67963,Private room,44,2,162,2019-09-17,1.71,1,30
207218,Historic Pullman Artist Flat,1019125,Jb,,Pullman,41.6883,-87.60892,Entire home/apt,90,1,257,2019-09-15,2.62,1,356
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,,Logan Square,41.92543,-87.69593,Private room,75,2,19,2019-05-21,0.22,1,325
228273,Gorgeous Private Room/Bath in a Lincoln Park Condo,1190842,Brandon,,Lincoln Park,41.93126,-87.65227,Private room,109,2,85,2019-09-15,0.87,1,239
230836,Huge Bedroom with pvt marble bath,1185573,Graz Anton,,Uptown,41.96331,-87.66088,Private room,125,365,5,2018-06-20,0.06,3,0
233933,BROWN ROOM - WALK TO TRAIN TO O'HARE/DOWNTOWN,1224828,Tippi,,Irving Park,41.95602,-87.72781,Private room,55,2,147,2019-09-16,1.52,2,158
234442,Beautifully Furnished Studio SW2R,87231,Jeff And JoAnne,,Lincoln Park,41.91337,-87.63918,Entire home/apt,85,1,240,2019-09-07,2.48,11,144
236792,Luxe Modern Condo in Lakeview,1241447,Dana,,Uptown,41.95939,-87.65441,Entire home/apt,125,3,63,2019-09-02,0.79,1,17
242751,Junior 1 bedroom in Old Town :SW1F,87231,Jeff And JoAnne,,Lincoln Park,41.91291,-87.63839,Entire home/apt,75,1,268,2019-09-01,2.80,11,62
248791,Quiet Bedroom/ARAGON/Train,272671,Two For The Road,,Uptown,41.96797,-87.65791,Private room,90,2,95,2019-06-16,0.99,4,357
250354,Close to Michigan Ave and parks,1311953,Ronald,,Near South Side,41.86051,-87.62399,Entire home/apt,170,180,39,2018-04-25,0.41,1,358
258253,Studio Apartment Unit 4,1358243,June,,West Ridge,42.00692,-87.68438,Entire home/apt,48,32,19,2019-08-16,0.20,1,325
261509,You'll love Chicago! Guaranteed!,858008,Kassie,,Near North Side,41.90314,-87.63494,Entire home/apt,149,32,62,2018-11-20,0.68,1,326
264547,Steps From the Best Chicago Offers,1387948,Dominic,,Near West Side,41.88467,-87.64487,Entire home/apt,195,10,65,2019-08-11,0.72,1,335
265238,Bohemian Chic in the heart of Lincoln Square,1382472,Ani,,North Center,41.96084,-87.68463,Entire home/apt,56,120,0,,,2,342
267646,Logan Square Classic Bungalow,1313038,Mark,,Logan Square,41.92716,-87.70471,Private room,97,2,136,2019-08-07,1.43,1,342
272728,Quiet room in Quiet neighborhood!,1426804,Afri,,Chatham,41.72763,-87.61307,Private room,40,2,214,2019-08-05,2.29,2,364
275496,Downtown 3BR/2BA Loft & Amazing River View,1142145,Jim,,Near West Side,41.88623,-87.6404,Entire home/apt,175,360,10,2014-11-08,0.16,1,364
289689,"30 Day+ Med student, interns & interim stays.",1376077,Killian,,Edgewater,41.97794,-87.65764,Private room,25,30,59,2019-08-11,0.63,1,273
289884,"Sunny Home w/ Private Bathroom, Parking, Laundry",1500490,Hailey,,Logan Square,41.92177,-87.68277,Private room,125,1,80,2019-09-16,0.91,1,360
290155,15 Minutes to Everything.  Skyline View. Quiet.,1505878,Bob,,Bridgeport,41.82702,-87.63967,Entire home/apt,125,3,49,2019-09-01,0.52,2,12
298321,nice room with king size bed,1537881,Marko,,Woodlawn,41.78216,-87.59027,Private room,47,2,45,2019-07-22,0.50,1,348
312192,A Great Value. Real Neighborhood. Save big $$.,1505878,Bob,,Bridgeport,41.82767,-87.63959,Entire home/apt,153,3,35,2019-09-06,0.60,2,5
313227,WHOLE PRIVATE FLOOR near Train,259284,Cheryl,,Albany Park,41.96331,-87.70916,Entire home/apt,85,3,47,2017-07-17,0.51,1,297
325842,Lincoln Park Sunny Modern Home,1666599,Caroline,,Lincoln Park,41.92026,-87.65892,Entire home/apt,379,6,27,2019-06-02,0.30,1,352
345075,"Spacious, Vintage Hyde Park Apt.",1746524,Patricia,,Kenwood,41.8077,-87.59436,Private room,85,2,225,2019-09-18,2.47,1,336
349265,Historic Chicago Home - Hyde Park,1517871,Jon,,Hyde Park,41.80086,-87.58948,Entire home/apt,290,7,8,2018-09-17,0.09,2,362
350347,"Luxury Chicago Loft, 1 blk to train w/ 2 pkg spots",845242,Jay & Elisa,,Lake View,41.93986,-87.65473,Entire home/apt,136,3,452,2019-09-16,4.92,1,0
363702,Private Bedroom/Spacious Home. Walk to train.,1837370,Armando,,Rogers Park,41.9991,-87.67146,Private room,30,1,41,2019-09-03,0.47,11,72
363703,"2 Bedroom, 3 Beds Economic Rental, walk to train.",1837370,Armando,,Rogers Park,42.00162,-87.67027,Entire home/apt,30,1,25,2019-08-06,0.28,11,162
