id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2318,Casa Madrona - Urban Oasis 1 block from the park!,2536,Megan,Central Area,Madrona,47.61082,-122.29082,Entire home/apt,296,30,28,2019-08-30,0.21,2,84
5682,"Cozy Studio, min. to downtown -WiFi",8993,Maddy,Delridge,South Delridge,47.52398,-122.35989,Entire home/apt,48,3,462,2018-11-24,3.99,1,0
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65411,-122.33761,Entire home/apt,90,2,147,2019-09-07,1.19,3,85
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55062,-122.32014,Private room,62,2,144,2019-09-02,1.29,8,365
9460,Downtown Convention Center B&B -- Free Minibar,30832,Siena,Downtown,First Hill,47.61265,-122.32936,Private room,99,3,443,2019-09-02,3.62,4,150
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55539,-122.38474,Entire home/apt,165,3,37,2019-08-19,0.39,2,344
9534,The Coolest Tangerine Dream MIL! ,31481,Cassie,West Seattle,Fairmount Park,47.55624,-122.38598,Entire home/apt,125,2,44,2019-09-14,0.47,2,344
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65479,-122.33652,Entire home/apt,120,2,91,2019-09-09,0.90,3,54
9909,Luna Park House - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56521,-122.37375,Entire home/apt,125,3,71,2019-09-08,0.59,7,66
11012,"the orange house, quiet 'n central",14942,Joyce,Other neighborhoods,Wallingford,47.65448,-122.33646,Entire home/apt,299,2,91,2019-09-01,0.78,3,179
14386,Quiet Cozy Upstairs BR Green Lake,39377,Bob,Other neighborhoods,Green Lake,47.68725,-122.3347,Private room,40,1,141,2019-06-28,1.27,3,332
15108,Green Lake Private Ground Floor BR,39377,Bob,Other neighborhoods,Green Lake,47.68827,-122.33586,Private room,60,1,71,2019-03-31,0.71,3,264
15749,Green Lake guest room with active family,61636,Angela,Other neighborhoods,Green Lake,47.68407,-122.32649,Private room,32,24,20,2019-08-31,0.21,2,45
17951,"West Seattle, The Starlight Studio",33360,Laura,West Seattle,Fairmount Park,47.55538,-122.38622,Entire home/apt,105,2,114,2019-09-15,1.01,7,59
